# http://framecurve.org/specification-v1
# at_frame	use_frame_of_source
1	1.00000
2	1.12500
3	1.25000
4	1.37500
5	1.50000
6	1.62500
7	1.75000
8	1.87500
9	2.00000
10	2.12500
11	2.25000
12	2.37500
13	2.50000
14	2.62500
15	2.75000
16	2.87500
17	3.00000
18	4.08333
19	5.16667
20	6.25000
21	7.33333
22	8.41667
23	9.50000
24	10.58333
25	11.66667
26	12.75000
27	13.83333
28	14.91667
29	16.00000
30	16.80000
31	17.60000
32	18.40000
33	19.20000
34	20.00000
35	21.28571
36	22.57143
37	23.85714
38	25.14286
39	26.42857
40	27.71429
41	29.00000
42	29.33333
43	29.66667
44	30.00000
45	30.33333
46	30.66667
47	31.00000
48	36.00000
49	41.00000
50	46.00000
51	51.00000
52	52.00000
53	53.00000
54	54.00000
55	55.00000
56	56.00000
57	57.00000
58	58.00000
59	59.00000
60	60.00000
61	61.00000
62	62.00000
63	63.00000
64	64.00000
65	65.00000
66	66.00000
67	67.00000
68	68.00000
69	69.00000
70	70.00000
71	71.00000
72	72.00000
73	73.00000
74	74.00000
75	75.00000
76	76.00000
77	77.00000
78	78.00000
79	79.00000
80	80.00000
81	81.00000
82	82.00000
83	83.00000
84	84.00000
85	85.00000
86	86.00000
87	87.00000
88	88.00000
89	89.00000
